store_id,date,category,product,quantity,price,discount,is_promo
S001,2024-01-15,Электроника,Ноутбук,2,50000,0.05,1
S001,2024-01-15,Электроника,Мышь,5,1500,0.10,1
S001,2024-01-15,Бытовая техника,Чайник,3,3000,0.00,0
S002,2024-01-15,Электроника,Ноутбук,1,52000,0.05,1
S002,2024-01-15,Бытовая техника,Чайник,2,3100,0.00,0
S001,2024-02-10,Электроника,Ноутбук,1,49000,0.00,0
S001,2024-02-10,Электроника,Мышь,10,1400,0.15,1
S002,2024-02-10,Бытовая техника,Утюг,4,2500,0.05,1
S001,2024-03-05,Электроника,Ноутбук,3,51000,0.10,1
S003,2024-03-05,Электроника,Мышь,8,1450,0.00,0
S001,2024-03-05,Бытовая техника,Чайник,5,2900,0.10,1
S002,2024-03-05,Электроника,Ноутбук,2,53000,0.05,1
S003,2024-04-12,Электроника,Ноутбук,1,54000,0.15,1
S002,2024-04-12,Бытовая техника,Утюг,3,2600,0.10,1
S001,2024-05-20,Электроника,Мышь,12,1350,0.20,1
S003,2024-05-20,Бытовая техника,Чайник,4,2850,0.05,1
S001,2024-06-15,Электроника,Ноутбук,2,52000,0.10,1
S002,2024-06-15,Электроника,Мышь,7,1380,0.05,1
S003,2024-06-15,Бытовая техника,Утюг,5,2550,0.00,0
S001,2024-07-22,Электроника,Ноутбук,1,53000,0.00,0
S002,2024-07-22,Электроника,Мышь,9,1400,0.10,1
S001,2024-07-22,Бытовая техника,Чайник,6,2800,0.15,1
S003,2024-08-18,Электроника,Ноутбук,2,54500,0.10,1
S002,2024-08-18,Бытовая техника,Утюг,4,2700,0.10,1
S001,2024-08-18,Электроника,Мышь,15,1300,0.25,1
S003,2024-09-10,Электроника,Ноутбук,1,55000,0.05,1
S001,2024-09-10,Бытовая техника,Чайник,7,2750,0.20,1
S002,2024-09-10,Электроника,Мышь,10,1420,0.00,0
S001,2024-10-05,Электроника,Ноутбук,3,53500,0.15,1
S002,2024-10-05,Бытовая техника,Утюг,2,2650,0.05,1
S003,2024-10-05,Электроника,Мышь,6,1450,0.10,1
